Date,US0001M INDEX,FED30D INDEX,USGG10YR INDEX,LF98TRUU Index,MXWO INDEX,SPX INDEX,SPI INDEX,MXNA INDEX,MXJP INDEX,UKX INDEX,MXAS INDEX,MXASJ INDEX
31/12/1987,USD 1M LIBOR,30D FFR,US  10Y,BARC US CORP HY TOT RTN IDFX,,STD POOR IDX,SWISS PERF IDX,North America,Japan,FTSE 100,Asia,Asia Excl Japan
31/7/2008,2.4613%,2.0100%,3.9462%,-1.3322%,-2.5269%,-0.9859%,-0.7921%,-1.8315%,-3.1484%,-4.2484%,-2.5594%,-1.4535%
31/8/2008,2.4856%,2.0000%,3.8116%,0.3501%,-1.5980%,1.2191%,-3.4793%,0.8618%,-4.3135%,-4.4836%,-5.4063%,-7.1964%
30/9/2008,3.9263%,1.8100%,3.8234%,-7.9775%,-12.0771%,-9.0791%,-9.7100%,-9.8855%,-11.7161%,-14.8051%,-14.0187%,-16.7935%
31/10/2008,2.5813%,0.9700%,3.9530%,-15.9068%,-19.0445%,-16.9425%,-12.3827%,-17.9699%,-14.6897%,-18.9925%,-18.7291%,-24.1739%
30/11/2008,1.9013%,0.3900%,2.9200%,-9.3132%,-6.7192%,-7.4849%,-9.3806%,-7.5435%,-1.6553%,-6.7112%,-3.1379%,-6.1078%
31/12/2008,0.4363%,0.1600%,2.2123%,7.6836%,3.0574%,0.7822%,9.7930%,0.7063%,8.2201%,-2.0039%,8.6962%,9.7938%
31/1/2009,0.4194%,0.1500%,2.8403%,5.9940%,-8.8456%,-8.5657%,-12.8148%,-7.9511%,-6.7794%,-7.1423%,-6.3515%,-5.6020%
28/2/2009,0.4963%,0.2200%,3.0131%,-3.1027%,-10.4872%,-10.9931%,-10.5118%,-10.4453%,-12.4053%,-8.4346%,-10.1735%,-6.6147%
31/3/2009,0.5006%,0.1800%,2.6629%,3.1889%,7.2397%,8.5405%,7.2948%,8.4059%,0.7521%,2.1648%,6.2436%,13.6822%
30/4/2009,0.4113%,0.1500%,3.1187%,12.1047%,10.9039%,9.3925%,8.5016%,9.7595%,9.7099%,11.6792%,12.5871%,16.4998%
31/5/2009,0.3163%,0.1800%,3.4594%,6.7284%,8.6202%,5.3081%,9.9643%,6.5141%,10.6554%,13.8298%,12.6123%,15.5692%
30/6/2009,0.3088%,0.2100%,3.5326%,2.8640%,-0.6134%,0.0196%,-0.4704%,-0.4783%,2.0407%,-1.9735%,0.5929%,-0.6946%
31/7/2009,0.2794%,0.1600%,3.4796%,6.0861%,8.3709%,7.4142%,11.2322%,7.7798%,4.6876%,9.9804%,8.1119%,12.6515%
31/8/2009,0.2588%,0.1600%,3.3975%,1.8649%,3.9100%,3.3560%,5.7220%,2.7958%,3.2225%,3.9568%,0.3568%,-3.5113%
30/9/2009,0.2456%,0.1500%,3.3053%,5.6948%,3.8117%,3.5723%,4.2628%,4.0102%,-2.4250%,2.8056%,2.7259%,8.6199%
31/10/2009,0.2435%,0.1200%,3.3828%,1.7947%,-1.8465%,-1.9762%,0.0833%,-2.3511%,-1.7827%,0.8546%,-1.5672%,-0.5836%
30/11/2009,0.2353%,0.1200%,3.1978%,1.0074%,3.8728%,5.7364%,1.5408%,5.8292%,-1.7703%,2.6277%,0.7814%,2.6284%
31/12/2009,0.2309%,0.1200%,3.8368%,3.2808%,1.6936%,1.7771%,1.3849%,1.9906%,0.8407%,2.6972%,2.5005%,4.2836%
31/1/2010,0.2291%,0.1100%,3.5844%,1.2651%,-4.1875%,-3.6974%,-3.2488%,-3.9664%,2.1419%,-4.9522%,-2.2031%,-6.1223%
28/2/2010,0.2288%,0.1300%,3.6117%,0.1746%,1.2335%,2.8514%,2.0233%,3.0962%,0.9071%,-1.8020%,0.7445%,0.3844%
31/3/2010,0.2486%,0.1600%,3.8257%,3.1352%,5.9276%,5.8796%,6.6533%,6.0310%,4.1718%,5.7586%,5.6334%,7.1552%
30/4/2010,0.2800%,0.2000%,3.6532%,2.3439%,-0.1641%,1.4759%,-5.2313%,1.4750%,-0.2287%,-1.6389%,0.8267%,1.8562%
31/5/2010,0.3513%,0.2000%,3.2848%,-3.5934%,-9.9086%,-8.1976%,-11.1589%,-8.1511%,-8.1576%,-11.4061%,-8.4430%,-8.8071%
30/6/2010,0.3484%,0.1800%,2.9311%,1.2449%,-3.5636%,-5.3882%,4.2829%,-5.4630%,-2.0427%,-2.1472%,-0.2756%,1.4861%
31/7/2010,0.3050%,0.1800%,2.9052%,3.5560%,8.0196%,6.8778%,5.1347%,6.8713%,3.8688%,12.1699%,4.4804%,5.3809%
31/8/2010,0.2578%,0.1900%,2.4683%,0.0360%,-3.9233%,-4.7449%,1.9036%,-4.4212%,-2.7017%,-2.8779%,-1.8513%,-1.4143%
30/9/2010,0.2563%,0.1900%,2.5098%,3.0130%,9.1135%,8.7551%,6.1036%,8.7908%,4.0541%,8.8822%,7.5450%,11.0615%
31/10/2010,0.2538%,0.1900%,2.5993%,2.5823%,3.6500%,3.6856%,2.5779%,3.7362%,2.0211%,4.1600%,2.3266%,2.5777%
30/11/2010,0.2606%,0.1900%,2.7968%,-1.1681%,-2.3457%,-0.2290%,-3.5407%,-0.0252%,2.2040%,-5.2339%,0.1312%,-1.5338%
31/12/2010,0.2606%,0.1800%,3.2935%,1.8132%,7.2481%,6.5300%,9.5075%,6.6092%,7.2131%,6.7847%,6.4192%,5.4574%
31/1/2011,0.2600%,0.1700%,3.3704%,2.2061%,2.1882%,2.2646%,-0.0067%,2.0966%,0.1762%,2.1901%,-0.5088%,-1.0611%
28/2/2011,0.2610%,0.1600%,3.4272%,1.3103%,3.3308%,3.1957%,3.6174%,3.5220%,4.6783%,3.6193%,0.0412%,-3.9656%
31/3/2011,0.2435%,0.1400%,3.4703%,0.3237%,-1.2370%,-0.1047%,-1.2451%,-0.0504%,-10.1015%,-2.5506%,-1.7975%,6.1829%
30/4/2011,0.2103%,0.1000%,3.2863%,1.5498%,4.0219%,2.8495%,9.7822%,2.7523%,0.1855%,6.3978%,2.1159%,3.5587%
31/5/2011,0.1904%,0.0900%,3.0607%,0.4876%,-2.4492%,-1.3501%,1.6689%,-1.4868%,-1.6672%,-2.5265%,-1.6609%,-1.6634%
30/6/2011,0.1856%,0.0900%,3.1600%,-0.9736%,-1.7296%,-1.8258%,-4.3541%,-1.9758%,1.7942%,-2.9559%,-0.8863%,-2.6882%
31/7/2011,0.1911%,0.0700%,2.7961%,1.1593%,-1.8878%,-2.1474%,-0.0590%,-2.0806%,3.2612%,0.0328%,1.9993%,0.7827%
31/8/2011,0.2215%,0.1000%,2.2234%,-4.0026%,-7.2608%,-5.6791%,-6.9546%,-5.5690%,-8.2254%,-8.1257%,-9.2548%,-10.1595%
30/9/2011,0.2394%,0.0800%,1.9154%,-3.2689%,-8.8473%,-7.1762%,-11.8044%,-8.0392%,-2.5128%,-8.5944%,-8.3941%,-13.3917%
31/10/2011,0.2453%,0.0700%,2.1133%,5.9925%,10.2567%,10.7723%,7.9479%,10.7791%,-0.1440%,11.4296%,5.9994%,11.9531%
30/11/2011,0.2714%,0.0800%,2.0680%,-2.1558%,-2.6863%,-0.5059%,-5.8026%,-0.7674%,-4.4384%,-3.2671%,-6.5891%,-8.3757%
31/12/2011,0.2953%,0.0700%,1.8762%,2.6562%,-0.1697%,0.8533%,1.1070%,0.4670%,0.5733%,-0.0933%,0.6129%,0.5172%
31/1/2012,0.2648%,0.0800%,1.7971%,3.0358%,4.9299%,4.3583%,3.2151%,4.6930%,4.5304%,3.5399%,7.7899%,10.6663%
29/2/2012,0.2435%,0.1000%,1.9705%,2.3754%,4.6604%,4.0589%,5.3240%,4.0852%,4.9675%,4.5760%,5.4850%,5.8771%
31/3/2012,0.2413%,0.1300%,2.2088%,-0.1394%,1.0233%,3.1332%,2.2976%,2.4679%,0.0517%,-1.4224%,-1.6074%,-3.2267%
30/4/2012,0.2388%,0.1400%,1.9137%,1.0468%,-1.3735%,-0.7497%,-0.9034%,-0.6309%,-3.5478%,0.9798%,-1.5265%,-0.1115%
31/5/2012,0.2388%,0.1600%,1.5578%,-1.3056%,-8.9916%,-6.2651%,-10.4664%,-6.7854%,-8.2399%,-11.9389%,-9.5368%,-10.0064%
30/6/2012,0.2458%,0.1600%,1.6449%,2.1113%,4.9319%,3.9555%,5.6405%,3.6858%,4.9998%,6.5106%,3.6376%,2.4963%
31/7/2012,0.2457%,0.1600%,1.4679%,1.9026%,1.2017%,1.2598%,2.1347%,1.2935%,-2.4287%,1.0673%,0.1160%,2.2164%
31/8/2012,0.2305%,0.1300%,1.5484%,1.1706%,2.2902%,1.9763%,1.9770%,2.2428%,-0.7403%,2.6135%,-0.7823%,-0.7983%
30/9/2012,0.2143%,0.1400%,1.6335%,1.3918%,2.5242%,2.4236%,3.6051%,2.4735%,1.2116%,2.3671%,4.3804%,6.8187%
31/10/2012,0.2120%,0.1600%,1.6901%,0.8782%,-0.7610%,-1.9789%,2.1740%,-1.8140%,-1.6146%,0.5891%,-0.9792%,-0.3064%
30/11/2012,0.2145%,0.1600%,1.6156%,0.8003%,1.0734%,0.2847%,3.4896%,0.2715%,2.2047%,0.8133%,2.5523%,2.6923%
31/12/2012,0.2087%,0.1600%,1.7574%,1.5755%,1.7492%,0.7068%,1.7679%,0.7654%,5.7118%,1.8450%,3.9673%,3.0828%
31/1/2013,0.1997%,0.1400%,1.9849%,1.3405%,5.0034%,5.0428%,8.4533%,4.8603%,3.1272%,4.0159%,2.4909%,1.5866%
28/2/2013,0.2037%,0.1500%,1.8756%,0.5079%,-0.0206%,1.1061%,0.6711%,0.8284%,2.5913%,-3.0677%,1.0256%,-0.2139%
31/3/2013,0.2037%,0.1400%,1.8486%,1.0181%,2.0873%,3.5988%,1.4864%,3.3356%,3.9735%,0.8339%,0.6398%,-2.0749%
30/4/2013,0.1982%,0.1500%,1.6717%,1.8091%,2.9020%,1.8086%,4.4756%,1.5914%,8.8368%,2.6042%,4.8741%,1.6020%
31/5/2013,0.1943%,0.1100%,2.1282%,-0.5796%,-0.2852%,2.0763%,-2.0434%,1.6378%,-5.4999%,-0.0323%,-3.5807%,-1.6491%
30/6/2013,0.1947%,0.0900%,2.4857%,-2.6226%,-2.6075%,-1.4999%,-1.9521%,-1.7983%,1.5576%,-5.5159%,-2.5987%,-6.2581%
31/7/2013,0.1867%,0.0900%,2.5762%,1.8957%,5.1871%,4.9462%,4.0292%,5.1539%,0.6300%,6.4694%,1.0672%,1.5060%
31/8/2013,0.1821%,0.0800%,2.7839%,-0.6079%,-2.3324%,-3.1298%,-0.8920%,-2.8509%,-2.3084%,-1.2289%,-1.9671%,-1.7603%
30/9/2013,0.1789%,0.0800%,2.6100%,0.9931%,4.8162%,2.9749%,6.5545%,3.1867%,7.6985%,5.3653%,6.3760%,5.1588%
31/10/2013,0.1680%,0.0900%,2.5542%,2.5054%,3.8344%,4.4596%,2.8276%,4.2201%,-0.1369%,3.3163%,2.2130%,4.3309%
30/11/2013,0.1683%,0.0800%,2.7445%,0.5077%,1.5946%,2.8049%,0.2780%,2.3484%,1.5506%,0.7131%,0.7510%,0.1131%
31/12/2013,0.1677%,0.0900%,3.0282%,0.5395%,2.0050%,2.3563%,1.7718%,2.4302%,0.8369%,2.7466%,-0.2537%,-1.1437%
31/1/2014,0.1565%,0.0700%,2.6440%,0.7016%,-3.7693%,-3.5583%,-2.0166%,-3.5564%,-4.1149%,-4.1591%,-4.5075%,-5.1084%
28/2/2014,0.1555%,0.0700%,2.6476%,2.0229%,4.8134%,4.3117%,7.1378%,4.4362%,-0.3304%,6.3061%,1.4402%,3.3328%
31/3/2014,0.1520%,0.0800%,2.7180%,0.2362%,-0.0913%,0.6932%,0.0568%,0.5833%,-2.1102%,-3.3756%,-0.5006%,0.9025%
30/4/2014,0.1505%,0.0900%,2.6459%,0.6334%,0.8286%,0.6201%,2.0420%,0.6427%,-2.5019%,3.9358%,-0.9320%,0.5444%
31/5/2014,0.1510%,0.0900%,2.4759%,0.9197%,1.6258%,2.1030%,1.0952%,2.0441%,3.9096%,0.3288%,3.8048%,3.6841%
30/6/2014,0.1552%,0.1000%,2.5304%,0.8358%,1.6465%,1.9058%,-0.3938%,2.2427%,5.2018%,0.4873%,3.3927%,1.8900%
31/7/2014,0.1560%,0.0900%,2.5578%,-1.3335%,-1.6674%,-1.5080%,-3.8525%,-1.4364%,0.5449%,-1.4713%,2.0324%,3.3165%
31/8/2014,0.1570%,0.0900%,2.3431%,1.5847%,2.0031%,3.7655%,1.8649%,3.6629%,-2.3158%,-0.4745%,-0.7907%,0.4125%
30/9/2014,0.1565%,0.0900%,2.4888%,-2.0934%,-2.8753%,-1.5514%,-2.4346%,-2.0758%,-1.1553%,-5.0264%,-3.9083%,-6.0577%
31/10/2014,0.1559%,0.0900%,2.3353%,1.1891%,0.5699%,2.3201%,-0.8329%,1.9171%,-1.3726%,-2.5226%,0.3988%,1.8998%
30/11/2014,0.1540%,0.0900%,2.1640%,-0.7285%,1.8389%,2.4534%,3.0462%,2.2544%,0.2966%,0.3087%,0.2780%,0.2519%
31/12/2014,0.1713%,0.1200%,2.1712%,-1.4482%,-1.7149%,-0.4189%,-3.7911%,-0.5894%,-1.1529%,-2.5910%,-1.9487%,-2.2964%
31/1/2015,0.1713%,0.1100%,1.6407%,0.6607%,-1.8793%,-3.1041%,0.3394%,-3.2811%,2.0000%,-0.9093%,2.4075%,2.4764%
28/2/2015,0.1730%,0.1100%,1.9930%,2.4104%,5.6821%,5.4893%,4.2041%,5.6033%,5.8246%,5.8006%,3.7551%,1.8210%
31/3/2015,0.1763%,0.1100%,1.9231%,-0.5476%,-1.8078%,-1.7396%,0.3199%,-1.7145%,1.0239%,-6.2693%,0.5703%,0.2907%
30/4/2015,0.1810%,0.1200%,2.0317%,1.2071%,2.1593%,0.8521%,4.4930%,1.1618%,3.5536%,6.1692%,5.4056%,7.0789%
31/5/2015,0.1840%,0.1200%,2.1214%,0.3032%,0.0512%,1.0491%,1.4175%,0.7416%,1.2206%,-0.0703%,-0.9324%,-2.7894%
30/6/2015,0.1865%,0.1300%,2.3531%,-1.4884%,-2.4560%,-2.1012%,-4.1921%,-2.1234%,-1.5850%,-3.8598%,-3.1712%,-4.3742%
31/7/2015,0.1918%,0.1300%,2.1801%,-0.5825%,1.7279%,1.9742%,3.7867%,1.5392%,0.1943%,2.0352%,-3.2974%,-6.6468%
31/8/2015,0.1986%,0.1400%,2.2179%,-1.7419%,-6.8062%,-6.2581%,-6.1276%,-6.2968%,-5.8178%,-8.1046%,-7.9796%,-10.0297%
30/9/2015,0.1930%,0.1400%,2.0368%,-2.6024%,-3.8598%,-2.6443%,-4.1752%,-2.9352%,-7.2783%,-4.6025%,-4.7055%,-2.0195%
31/10/2015,0.1920%,0.1200%,2.1421%,2.7491%,7.8310%,8.2983%,3.9471%,7.8889%,9.9619%,7.1182%,8.9586%,7.9051%
30/11/2015,0.2430%,0.1200%,2.2060%,-2.2226%,-0.6683%,0.0505%,-2.9054%,-0.0128%,-0.9051%,-2.7374%,-2.2578%,-3.4405%
31/12/2015,0.4295%,0.2400%,2.2694%,-2.5186%,-1.8656%,-1.7530%,2.2257%,-2.1378%,-0.1519%,-3.7561%,-0.2567%,-0.7051%
31/1/2016,0.4250%,0.3400%,1.9209%,-1.6073%,-6.0507%,-5.0735%,-8.2968%,-5.2950%,-7.9024%,-5.9197%,-7.9439%,-7.6609%
29/2/2016,0.4405%,0.3800%,1.7347%,0.5716%,-0.9608%,-0.4128%,-1.7352%,-0.2710%,-2.9155%,-1.9657%,-1.8665%,-1.0029%
31/3/2016,0.4373%,0.3600%,1.7687%,4.4447%,6.5248%,6.5991%,4.7786%,6.8250%,3.8295%,4.7775%,7.6174%,11.0654%
30/4/2016,0.4358%,0.3700%,1.8333%,3.9150%,1.3761%,0.2699%,2.9441%,0.7118%,3.4398%,2.7141%,1.6137%,-1.0126%
31/5/2016,0.4689%,0.3700%,1.8458%,0.6175%,0.2280%,1.5329%,0.2323%,1.2753%,0.4228%,-0.9354%,-1.3360%,-1.6141%
30/6/2016,0.4651%,0.3800%,1.4697%,0.9203%,-1.2767%,0.0906%,-0.9809%,0.0908%,-3.3582%,-4.5781%,-0.2299%,1.8894%
31/7/2016,0.4959%,0.3900%,1.4531%,2.7036%,4.1470%,3.5610%,2.7069%,3.6456%,7.2412%,3.0722%,5.4716%,4.6121%
31/8/2016,0.5249%,0.4000%,1.5800%,2.0922%,-0.1318%,-0.1219%,-0.3029%,-0.0853%,0.3683%,0.1856%,1.8210%,3.1012%
30/9/2016,0.5311%,0.4000%,1.5944%,0.6664%,0.3577%,-0.1234%,0.7216%,0.0064%,0.5229%,0.4135%,1.1525%,1.4156%
31/10/2016,0.5338%,0.4000%,1.8255%,0.3860%,-2.0137%,-1.9426%,-5.2034%,-1.9553%,1.5769%,-4.9708%,-0.2357%,-1.5428%
30/11/2016,0.6237%,0.4100%,2.3809%,-0.4744%,1.2520%,3.4174%,-2.2135%,3.2685%,-2.6585%,-0.2968%,-2.7016%,-2.9442%
31/12/2016,0.7717%,0.5400%,2.4443%,1.8456%,2.2855%,1.8201%,4.0400%,1.6989%,1.0122%,4.0036%,-0.8419%,-2.3022%
31/1/2017,0.7794%,0.6500%,2.4531%,1.4522%,2.3515%,1.7884%,3.8033%,2.0550%,3.3296%,1.1999%,5.0290%,6.1866%
28/2/2017,0.7889%,0.6600%,2.3899%,1.4553%,2.5831%,3.7198%,2.0636%,3.3787%,1.4181%,1.0689%,2.2853%,3.3287%
31/3/2017,0.9828%,0.7900%,2.3874%,-0.2228%,0.8152%,-0.0389%,3.2196%,-0.0075%,-0.9591%,1.8338%,1.1855%,3.1293%
30/4/2017,0.9950%,0.9000%,2.2802%,1.1547%,1.3265%,0.9091%,4.1559%,0.7803%,0.9828%,1.5755%,1.6297%,2.0997%
