,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
30/9/1996,0.48%,1.42%,2.12%,2.35%,5.85%,-2.39%,5.54%,3.04%,2.31%,3.28%,0.87%,3.91%,,,,,,,,,,
31/10/1996,0.53%,1.85%,2.73%,0.87%,0.82%,-0.41%,2.85%,1.08%,4.74%,-4.63%,-2.67%,-1.54%,,,,,,,,,,
29/11/1996,0.44%,1.32%,2.11%,1.98%,4.93%,0.61%,7.56%,5.53%,5.70%,2.73%,1.68%,4.12%,,,,,,,,,,
31/12/1996,0.47%,-0.75%,-1.38%,0.86%,1.09%,-2.24%,-1.96%,1.71%,3.47%,-5.18%,0.45%,2.62%,,,,,,,,,,
31/1/1997,0.49%,0.38%,0.11%,0.75%,3.04%,2.47%,6.76%,1.57%,-2.94%,-8.40%,6.82%,2.00%,,,,,,,,,,
28/2/1997,0.44%,0.08%,0.39%,1.54%,1.63%,0.85%,0.64%,0.54%,3.13%,2.10%,4.28%,-2.42%,,,,,,,,,,
31/3/1997,0.44%,-0.77%,-1.58%,-1.38%,-3.33%,5.79%,-4.49%,4.08%,1.06%,-3.65%,-2.63%,-4.72%,,,,,,,,,,
30/4/1997,0.49%,1.25%,1.48%,1.28%,2.94%,2.70%,6.38%,-1.71%,1.84%,2.10%,0.18%,0.28%,,,,,,,,,,
30/5/1997,0.50%,0.78%,1.14%,2.08%,3.39%,7.55%,5.83%,3.03%,4.57%,9.80%,2.86%,11.12%,,,,,,,,,,
30/6/1997,0.52%,0.93%,1.39%,1.57%,2.19%,7.75%,4.43%,6.61%,1.39%,6.21%,5.35%,4.29%,,,,,,,,,,
31/7/1997,0.52%,2.19%,3.64%,2.65%,4.13%,1.96%,7.86%,5.46%,4.68%,-2.38%,1.49%,4.65%,,,,,,,,,,
29/8/1997,0.46%,-0.56%,-1.50%,-0.17%,-0.49%,-8.26%,-5.88%,-7.65%,-1.63%,-9.90%,-12.72%,2.29%,,,,,,,,,,
30/9/1997,0.50%,1.19%,1.71%,1.85%,2.78%,9.67%,5.27%,10.03%,8.67%,-0.37%,2.77%,7.32%,,,,,,,,,,
31/10/1997,0.51%,1.31%,1.14%,0.51%,-10.60%,-0.34%,-2.81%,-6.17%,-3.80%,-12.13%,-16.41%,-4.39%,,,,,,,,,,
28/11/1997,0.41%,0.11%,0.59%,0.89%,4.24%,2.45%,4.47%,2.01%,0.49%,-5.49%,-3.65%,-0.65%,,,,,,,,,,
31/12/1997,0.56%,0.88%,0.90%,1.01%,2.45%,4.83%,1.55%,3.68%,3.77%,-4.38%,2.41%,1.75%,,,,,,,,,,
30/1/1998,0.52%,1.57%,1.24%,1.57%,0.48%,3.42%,1.16%,4.27%,4.86%,5.44%,-7.84%,-1.58%,,,,,,,,,,
27/2/1998,0.42%,-0.25%,0.00%,0.40%,2.64%,9.12%,7.10%,8.15%,6.94%,3.60%,10.44%,7.39%,,,,,,,,,,
31/3/1998,0.49%,0.25%,0.39%,0.97%,2.27%,2.58%,5.31%,9.32%,5.28%,-5.50%,4.34%,4.12%,,,,,,,,,,
30/4/1998,0.47%,0.47%,0.62%,0.43%,0.23%,0.37%,1.16%,3.41%,0.22%,-1.96%,-1.09%,0.55%,,,,,,,,,,
29/5/1998,0.46%,0.72%,1.21%,0.55%,-3.02%,5.06%,-1.95%,4.97%,-3.69%,-6.77%,-13.70%,-5.39%,,,,,,,,,,
30/6/1998,0.49%,0.66%,0.80%,0.57%,-2.53%,-0.33%,3.93%,1.39%,1.54%,-0.18%,-10.49%,0.21%,,,,,,,,,,
