,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
29/10/2004,0.15%,2.88%,2.08%,1.89%,1.61%,2.13%,1.77%,5.19%,2.44%,2.96%,2.40%,2.93%,,,,,,,,,,
30/11/2004,0.16%,3.38%,2.12%,1.08%,0.70%,7.32%,4.11%,7.52%,6.47%,5.71%,9.26%,7.99%,,,,,,,,,,
31/12/2004,0.19%,1.61%,1.68%,1.51%,2.51%,4.55%,3.42%,5.16%,3.25%,4.76%,4.81%,4.12%,,,,,,,,,,
31/1/2005,0.20%,-1.33%,-0.77%,-0.10%,0.63%,-2.71%,-2.55%,-2.15%,-0.72%,-1.79%,0.32%,-1.26%,,,,,,,,,,
28/2/2005,0.20%,0.18%,0.34%,1.43%,0.67%,5.72%,2.31%,4.73%,4.85%,2.76%,8.78%,3.25%,,,,,,,,,,
31/3/2005,0.23%,-1.28%,-1.64%,-2.73%,-2.55%,-2.38%,-1.43%,-2.41%,-2.64%,-2.44%,-6.59%,-2.26%,,,,,,,,,,
29/4/2005,0.25%,1.43%,1.15%,-1.10%,1.58%,-0.16%,-2.01%,-3.78%,-1.05%,-1.91%,-2.67%,-3.91%,,,,,,,,,,
31/5/2005,0.28%,-1.84%,-0.93%,1.81%,2.99%,-0.05%,3.21%,1.35%,-0.95%,-0.66%,3.52%,3.13%,,,,,,,,,,
30/6/2005,0.26%,-0.75%,-0.06%,1.90%,1.78%,-0.58%,0.56%,1.74%,1.59%,1.25%,3.45%,2.97%,,,,,,,,,,
29/7/2005,0.26%,-0.91%,-0.76%,1.53%,-0.25%,5.40%,3.85%,4.79%,1.31%,1.73%,7.08%,5.19%,,,,,,,,,,
31/8/2005,0.33%,1.71%,1.82%,0.40%,1.94%,1.15%,-0.54%,0.36%,2.99%,5.01%,0.90%,1.03%,,,,,,,,,,
30/9/2005,0.29%,-1.78%,-1.74%,-1.00%,1.69%,3.38%,1.17%,2.68%,1.77%,9.12%,9.32%,2.56%,,,,,,,,,,
31/10/2005,0.33%,-1.76%,-1.35%,-0.73%,-1.48%,1.13%,-1.99%,-3.90%,-3.05%,-2.43%,-6.53%,-3.33%,,,,,,,,,,
30/11/2005,0.34%,-1.00%,-0.43%,0.48%,1.53%,3.05%,4.12%,2.36%,0.45%,4.08%,8.28%,4.08%,,,,,,,,,,
30/12/2005,0.36%,1.09%,0.82%,0.89%,1.85%,2.25%,0.32%,3.99%,2.88%,6.99%,5.92%,4.12%,,,,,,,,,,
31/1/2006,0.38%,1.42%,1.12%,1.61%,1.20%,6.22%,3.11%,7.17%,5.96%,5.36%,11.23%,7.57%,,,,,,,,,,
28/2/2006,0.35%,-0.43%,-0.37%,0.63%,2.22%,-0.96%,-0.02%,0.96%,-0.65%,-0.79%,-0.10%,-0.79%,,,,,,,,,,
31/3/2006,0.39%,-1.11%,-1.06%,0.63%,-1.90%,2.89%,1.30%,4.44%,2.87%,2.17%,0.90%,4.70%,,,,,,,,,,
28/4/2006,0.37%,2.31%,1.64%,0.60%,-0.09%,6.58%,1.55%,4.33%,5.93%,4.11%,7.14%,2.64%,,,,,,,,,,
31/5/2006,0.46%,1.61%,1.15%,-0.02%,-2.05%,-2.99%,-2.94%,-2.61%,-1.92%,-6.13%,-10.46%,-5.57%,,,,,,,,,,
30/6/2006,0.40%,-1.08%,-0.67%,-0.38%,-0.01%,-0.30%,-0.01%,0.17%,1.00%,-0.66%,-0.21%,-1.53%,,,,,,,,,,
31/7/2006,0.49%,0.82%,1.19%,1.07%,3.27%,3.15%,0.33%,0.88%,2.29%,-0.12%,1.47%,-2.78%,,,,,,,,,,
31/8/2006,0.49%,0.93%,1.51%,1.62%,2.60%,2.82%,2.53%,3.87%,2.43%,1.93%,2.60%,2.81%,,,,,,,,,,
29/9/2006,0.44%,-0.17%,0.15%,1.29%,0.56%,1.57%,2.15%,1.63%,-0.50%,-1.28%,0.84%,0.36%,,,,,,,,,,
31/10/2006,0.48%,0.95%,1.14%,1.48%,1.85%,2.86%,3.51%,3.89%,4.99%,3.03%,4.76%,4.40%,,,,,,,,,,
30/11/2006,0.45%,2.58%,2.50%,1.60%,1.27%,3.25%,2.05%,4.24%,2.44%,1.77%,7.45%,3.49%,,,,,,,,,,
29/12/2006,0.43%,-1.63%,-1.24%,1.06%,0.67%,2.05%,1.09%,3.49%,2.54%,3.00%,4.51%,1.72%,,,,,,,,,,
31/1/2007,0.49%,-1.28%,-0.65%,1.12%,-0.31%,2.24%,1.67%,0.67%,-0.16%,0.87%,-1.01%,1.82%,,,,,,,,,,
28/2/2007,0.42%,2.19%,2.20%,1.39%,1.72%,-1.60%,-1.66%,0.07%,-0.14%,3.43%,-0.58%,0.79%,,,,,,,,,,
30/3/2007,0.44%,0.33%,-0.15%,0.21%,0.97%,3.03%,1.20%,3.82%,3.32%,0.32%,4.01%,2.53%,,,,,,,,,,
30/4/2007,0.46%,1.08%,1.33%,1.34%,0.87%,7.32%,4.41%,7.46%,4.43%,0.03%,4.76%,3.29%,,,,,,,,,,
31/5/2007,0.46%,-1.78%,-1.43%,0.71%,-0.38%,-0.73%,3.86%,2.88%,1.71%,1.76%,4.88%,2.60%,,,,,,,,,,
29/6/2007,0.43%,-0.53%,-0.33%,-1.71%,-1.89%,-2.20%,-1.56%,-0.32%,1.30%,0.47%,4.73%,-0.74%,,,,,,,,,,
31/7/2007,0.48%,2.67%,1.11%,-3.12%,-0.90%,-1.44%,-2.88%,-2.30%,-2.50%,0.04%,5.33%,-3.31%,,,,,,,,,,
31/8/2007,0.40%,1.51%,0.55%,1.11%,1.21%,-0.96%,1.41%,-1.01%,-0.83%,-2.54%,-2.09%,-2.83%,,,,,,,,,,
28/9/2007,0.52%,2.50%,1.98%,2.40%,2.27%,3.88%,4.25%,5.83%,3.61%,6.06%,11.05%,2.11%,,,,,,,,,,
31/10/2007,0.58%,1.67%,1.85%,0.65%,2.38%,2.31%,2.29%,4.90%,6.02%,2.29%,11.16%,4.90%,,,,,,,,,,
30/11/2007,0.35%,2.42%,0.51%,-2.05%,-0.37%,-0.38%,-4.79%,-1.92%,-5.38%,-3.45%,-7.08%,-7.55%,,,,,,,,,,
31/12/2007,0.53%,-0.40%,-0.38%,0.29%,0.62%,-3.47%,-0.31%,-0.84%,-2.69%,-3.38%,0.36%,-1.79%,,,,,,,,,,
31/1/2008,0.74%,3.46%,1.50%,-1.36%,0.84%,-6.03%,-6.09%,-11.78%,-8.93%,-6.45%,-12.45%,-7.92%,,,,,,,,,,
29/2/2008,0.26%,2.37%,0.81%,-1.19%,-0.17%,3.14%,-2.36%,1.36%,0.42%,1.10%,7.42%,0.83%,,,,,,,,,,
31/3/2008,0.33%,2.79%,0.13%,-0.52%,-0.04%,1.66%,-0.82%,1.63%,-2.15%,-4.26%,-5.28%,-0.96%,,,,,,,,,,
30/4/2008,0.19%,-2.95%,-0.01%,4.17%,1.01%,0.27%,5.13%,4.39%,6.47%,7.54%,8.13%,4.09%,,,,,,,,,,
30/5/2008,0.28%,-1.36%,-0.79%,0.43%,0.12%,0.31%,2.11%,1.15%,-0.59%,2.21%,1.88%,3.66%,,,,,,,,,,
30/6/2008,0.24%,0.29%,-0.39%,-2.68%,-1.93%,-5.17%,-7.74%,-10.44%,-6.27%,-7.00%,-9.96%,-8.03%,,,,,,,,,,
31/7/2008,0.27%,0.31%,-0.32%,-1.60%,1.11%,-1.00%,-1.69%,-2.46%,-4.10%,-3.93%,-3.69%,-1.77%,,,,,,,,,,
29/8/2008,0.25%,-1.98%,-1.98%,0.30%,0.81%,-3.03%,1.07%,-4.48%,-3.22%,-4.25%,-7.95%,-0.04%,,,,,,,,,,
30/9/2008,-0.01%,-1.34%,-7.54%,-8.27%,-6.84%,-10.09%,-9.61%,-15.41%,-14.85%,-13.01%,-17.49%,-13.25%,,,,,,,,,,
31/10/2008,0.64%,-2.18%,-8.25%,-16.30%,-14.89%,-12.96%,-17.92%,-23.93%,-18.96%,-17.89%,-27.35%,-22.62%,,,,,,,,,,
28/11/2008,0.41%,3.25%,2.27%,-8.50%,2.48%,-8.88%,-7.25%,-6.47%,-6.43%,-2.37%,-7.52%,-8.47%,,,,,,,,,,
31/12/2008,0.43%,7.06%,6.44%,7.55%,7.77%,9.04%,0.99%,9.79%,-2.87%,7.52%,7.83%,6.09%,,,,,,,,,,
30/1/2009,0.23%,-4.00%,-2.51%,5.68%,0.85%,-12.15%,-7.81%,-14.03%,-6.22%,-7.45%,-6.42%,-7.63%,,,,,,,,,,
27/2/2009,0.14%,-3.06%,-2.37%,-3.91%,-1.19%,-10.52%,-10.12%,-11.67%,-8.17%,-10.44%,-5.62%,-10.40%,,,,,,,,,,
31/3/2009,0.21%,2.52%,1.04%,3.41%,3.74%,7.86%,8.64%,8.73%,3.72%,5.29%,14.38%,8.30%,,,,,,,,,,
30/4/2009,0.19%,0.39%,3.35%,11.47%,5.39%,8.28%,9.95%,15.95%,12.61%,10.69%,16.66%,16.59%,,,,,,,,,,
29/5/2009,0.20%,3.36%,6.61%,7.08%,3.78%,9.84%,6.78%,12.22%,13.87%,11.27%,17.14%,8.77%,,,,,,,,,,
30/6/2009,0.11%,0.02%,2.13%,3.21%,1.32%,-0.94%,-0.30%,-2.60%,-1.27%,2.09%,-1.33%,1.17%,,,,,,,,,,
31/7/2009,0.11%,1.82%,4.36%,6.18%,3.09%,10.74%,7.93%,10.75%,9.27%,6.62%,11.32%,8.81%,,,,,,,,,,
31/8/2009,0.10%,1.82%,2.26%,2.03%,1.90%,6.55%,3.03%,6.89%,5.53%,3.80%,-0.33%,6.13%,,,,,,,,,,
30/9/2009,0.05%,2.35%,2.43%,5.98%,4.92%,4.04%,4.18%,6.31%,2.79%,2.29%,9.09%,5.92%,,,,,,,,,,
30/10/2009,0.03%,0.10%,1.24%,1.78%,0.15%,0.22%,-2.23%,-3.49%,1.29%,-1.43%,0.13%,-3.93%,,,,,,,,,,
30/11/2009,0.03%,3.09%,2.09%,1.02%,1.05%,1.72%,6.08%,3.42%,2.91%,0.21%,4.30%,2.39%,,,,,,,,,,
31/12/2009,0.03%,-4.72%,-2.52%,3.13%,0.32%,1.44%,2.16%,1.02%,2.63%,1.32%,3.96%,4.61%,,,,,,,,,,
29/1/2010,0.02%,0.25%,0.68%,1.49%,0.37%,-2.91%,-3.86%,-7.65%,-4.81%,-1.35%,-5.56%,-2.39%,,,,,,,,,,
26/2/2010,0.02%,0.26%,-0.48%,0.09%,1.42%,1.66%,3.32%,-3.60%,-1.44%,1.83%,0.37%,2.34%,,,,,,,,,,
31/3/2010,0.02%,-1.40%,0.24%,3.19%,2.33%,6.25%,6.20%,6.97%,5.97%,5.84%,8.08%,7.76%,,,,,,,,,,
30/4/2010,0.02%,-0.22%,0.62%,2.24%,0.76%,-4.97%,1.59%,-4.05%,-1.12%,-0.14%,1.23%,3.89%,,,,,,,,,,
31/5/2010,0.01%,-1.28%,-3.34%,-3.52%,-1.58%,-11.24%,-7.95%,-12.74%,-10.88%,-10.15%,-8.75%,-9.57%,,,,,,,,,,
30/6/2010,0.07%,1.67%,1.66%,1.30%,2.01%,4.16%,-5.30%,-1.24%,-2.23%,-1.43%,-0.72%,-4.62%,,,,,,,,,,
30/7/2010,0.09%,3.64%,4.07%,3.46%,4.12%,4.63%,7.01%,13.07%,12.14%,5.90%,8.40%,7.78%,,,,,,,,,,
31/8/2010,0.09%,1.76%,1.24%,0.16%,2.33%,2.72%,-4.20%,-6.12%,-1.97%,-2.16%,-1.91%,-4.58%,,,,,,,,,,
30/9/2010,0.03%,2.60%,2.88%,2.97%,1.68%,6.25%,8.97%,13.10%,8.97%,7.66%,11.13%,11.55%,,,,,,,,,,
29/10/2010,0.03%,1.42%,1.03%,2.39%,1.72%,2.17%,3.86%,5.59%,3.94%,2.34%,2.91%,3.97%,,,,,,,,,,
30/11/2010,0.03%,-4.53%,-3.47%,-1.08%,-3.18%,-3.07%,0.20%,-10.86%,-4.91%,0.48%,-2.64%,0.53%,,,,,,,,,,
31/12/2010,0.03%,1.83%,0.82%,1.76%,-0.33%,9.55%,6.79%,8.55%,7.30%,7.61%,7.15%,9.43%,,,,,,,,,,
31/1/2011,0.03%,-0.03%,0.68%,2.10%,-0.54%,-0.39%,2.21%,6.88%,1.97%,-0.36%,-2.69%,0.91%,,,,,,,,,,
28/2/2011,0.03%,0.44%,1.17%,1.34%,0.29%,3.49%,3.73%,2.71%,4.32%,3.45%,-0.92%,4.07%,,,,,,,,,,
31/3/2011,0.03%,0.39%,0.51%,0.42%,1.27%,-1.15%,0.11%,0.07%,-2.44%,-4.91%,5.90%,1.23%,,,,,,,,,,
29/4/2011,0.04%,3.31%,3.35%,1.49%,1.39%,9.37%,2.87%,8.52%,7.08%,2.25%,3.12%,3.82%,,,,,,,,,,
31/5/2011,0.04%,-0.23%,-0.17%,0.52%,1.47%,2.00%,-1.28%,-4.94%,-2.17%,-2.35%,-2.58%,-2.00%,,,,,,,,,,
30/6/2011,0.03%,0.24%,-0.53%,-1.00%,1.12%,-4.40%,-1.80%,0.00%,-2.88%,0.18%,-1.50%,-2.13%,,,,,,,,,,
29/7/2011,0.03%,2.37%,2.16%,1.21%,1.95%,-0.11%,-1.96%,-6.45%,0.07%,2.00%,-0.38%,-2.31%,,,,,,,,,,
31/8/2011,0.02%,1.85%,-0.66%,-3.99%,0.53%,-7.15%,-5.34%,-12.78%,-7.30%,-7.09%,-8.90%,-8.23%,,,,,,,,,,
30/9/2011,0.03%,-2.31%,-3.07%,-3.59%,-4.20%,-11.97%,-7.88%,-12.17%,-8.78%,-6.77%,-14.56%,-11.18%,,,,,,,,,,
31/10/2011,0.04%,0.85%,3.31%,5.96%,4.51%,8.60%,10.94%,12.90%,12.06%,5.27%,13.26%,11.84%,,,,,,,,,,
30/11/2011,0.04%,-1.49%,-3.29%,-2.21%,-0.59%,-5.81%,-0.50%,-5.73%,-2.70%,-5.43%,-6.66%,-2.37%,,,,,,,,,,
30/12/2011,0.07%,0.76%,1.04%,2.48%,1.18%,1.36%,0.66%,-3.82%,0.07%,0.17%,-1.20%,-0.79%,,,,,,,,,,
31/1/2012,0.10%,1.57%,2.77%,2.91%,1.76%,2.99%,4.82%,6.32%,3.53%,6.47%,11.36%,7.57%,,,,,,,,,,
29/2/2012,0.09%,-0.84%,1.55%,2.28%,2.95%,5.32%,4.33%,6.52%,5.22%,4.82%,6.01%,4.57%,,,,,,,,,,
30/3/2012,0.07%,-1.07%,-0.46%,-0.09%,0.09%,2.01%,2.65%,-0.52%,-1.19%,-0.23%,-3.33%,1.01%,,,,,,,,,,
30/4/2012,0.07%,1.48%,0.91%,1.02%,1.76%,-0.73%,-0.50%,-5.46%,1.28%,-1.40%,-1.17%,-0.68%,,,,,,,,,,
31/5/2012,0.07%,-0.79%,-1.65%,-1.21%,-2.77%,-10.55%,-6.54%,-12.79%,-11.46%,-10.06%,-11.16%,-8.87%,,,,,,,,,,
29/6/2012,0.07%,0.23%,1.05%,2.01%,3.57%,6.00%,3.87%,9.21%,7.10%,5.58%,3.91%,3.66%,,,,,,,,,,
31/7/2012,0.08%,1.08%,2.01%,1.94%,4.00%,1.89%,1.43%,-0.08%,1.17%,1.10%,2.02%,-0.12%,,,,,,,,,,
31/8/2012,0.07%,0.74%,1.24%,1.21%,1.16%,2.19%,2.51%,6.50%,3.38%,-0.33%,-0.29%,3.32%,,,,,,,,,,
28/9/2012,0.06%,1.28%,1.45%,1.38%,1.47%,3.21%,2.65%,3.40%,2.36%,3.00%,6.05%,3.55%,,,,,,,,,,
31/10/2012,0.06%,-0.63%,1.14%,0.87%,0.82%,2.23%,-1.68%,2.43%,0.64%,-0.35%,-0.60%,-0.56%,,,,,,,,,,
30/11/2012,0.04%,-0.17%,0.21%,0.74%,1.55%,3.60%,0.56%,3.20%,1.43%,2.08%,1.28%,1.03%,,,,,,,,,,
31/12/2012,0.04%,-0.88%,0.52%,1.59%,0.93%,1.45%,1.01%,3.81%,2.07%,4.12%,4.90%,3.24%,,,,,,,,,,
31/1/2013,0.04%,-1.34%,-0.48%,1.38%,-1.42%,8.50%,5.00%,6.12%,3.87%,4.26%,1.39%,5.84%,,,,,,,,,,
28/2/2013,0.04%,-1.22%,-0.51%,0.46%,-0.14%,0.95%,1.06%,-4.47%,-2.49%,2.55%,-1.24%,0.84%,,,,,,,,,,
29/3/2013,0.03%,-0.32%,-0.14%,0.99%,-0.75%,1.63%,3.51%,-1.65%,1.19%,2.70%,-1.70%,3.50%,,,,,,,,,,
30/4/2013,0.04%,1.06%,2.37%,1.90%,2.83%,4.49%,1.72%,5.93%,3.08%,6.88%,0.79%,1.27%,,,,,,,,,,
31/5/2013,0.03%,-3.48%,-2.41%,-0.53%,-3.81%,-2.28%,1.91%,1.82%,0.13%,-6.95%,-2.52%,1.08%,,,,,,,,,,
28/6/2013,0.03%,-0.73%,-2.42%,-2.67%,-5.03%,-1.93%,-1.64%,-5.12%,-5.20%,-1.17%,-6.32%,-2.11%,,,,,,,,,,
31/7/2013,0.04%,1.37%,1.57%,1.92%,0.95%,3.95%,5.30%,8.66%,6.59%,1.56%,1.10%,6.45%,,,,,,,,,,
30/8/2013,0.03%,-0.46%,-0.64%,-0.62%,-2.68%,-0.94%,-2.63%,-1.75%,-0.42%,-1.38%,-1.68%,-1.90%,,,,,,,,,,
30/9/2013,0.03%,2.11%,1.87%,0.99%,2.67%,6.72%,3.36%,8.84%,5.57%,7.86%,6.53%,6.95%,,,,,,,,,,
31/10/2013,0.03%,0.89%,1.39%,2.46%,2.67%,2.72%,4.36%,5.88%,3.50%,1.65%,4.87%,3.09%,,,,,,,,,,
29/11/2013,0.03%,-1.19%,-0.12%,0.44%,-2.28%,0.70%,2.58%,1.50%,1.02%,-0.12%,-1.45%,1.84%,,,,,,,,,,
31/12/2013,0.03%,-0.92%,0.00%,0.57%,0.58%,1.23%,2.61%,2.06%,2.74%,0.06%,-1.44%,2.40%,,,,,,,,,,
31/1/2014,0.03%,1.20%,0.88%,0.74%,-1.02%,-1.89%,-3.44%,-4.28%,-4.30%,-4.47%,-6.47%,-1.84%,,,,,,,,,,
28/2/2014,0.03%,1.41%,1.63%,2.00%,3.24%,7.15%,4.69%,7.32%,7.03%,1.98%,3.33%,5.29%,,,,,,,,,,
31/3/2014,0.03%,-0.10%,0.07%,0.23%,1.26%,0.22%,0.75%,0.11%,-3.17%,0.16%,3.09%,-0.40%,,,,,,,,,,
30/4/2014,0.03%,1.14%,1.34%,0.69%,1.56%,1.94%,0.77%,1.80%,4.53%,-0.71%,0.37%,-1.64%,,,,,,,,,,
30/5/2014,0.03%,0.46%,0.78%,0.99%,3.20%,1.14%,2.27%,1.24%,0.82%,3.23%,3.51%,1.17%,,,,,,,,,,
30/6/2014,0.03%,0.87%,0.52%,0.86%,0.59%,-0.40%,2.42%,-0.42%,0.64%,3.24%,2.70%,3.96%,,,,,,,,,,
31/7/2014,0.03%,-1.00%,-0.64%,-1.32%,0.12%,-3.93%,-1.31%,-5.56%,-1.26%,1.76%,2.02%,-4.02%,,,,,,,,,,
29/8/2014,0.03%,0.42%,0.84%,1.50%,0.66%,2.11%,3.88%,0.05%,0.38%,-1.23%,2.29%,3.11%,,,,,,,,,,
30/9/2014,0.03%,-3.44%,-2.31%,-2.08%,-2.41%,-2.70%,-1.92%,-3.29%,-5.21%,-4.05%,-7.39%,-5.57%,,,,,,,,,,
31/10/2014,0.03%,-0.32%,0.40%,1.14%,1.65%,-0.76%,2.05%,-3.33%,-2.34%,0.92%,1.19%,1.71%,,,,,,,,,,
28/11/2014,0.02%,-0.83%,0.29%,-0.75%,-0.39%,3.35%,2.48%,4.27%,0.78%,-1.17%,-1.05%,0.47%,,,,,,,,,,
31/12/2014,0.03%,-0.70%,-0.63%,-1.44%,-2.87%,-4.50%,-0.41%,-5.09%,-2.69%,-1.80%,-4.56%,0.60%,,,,,,,,,,
30/1/2015,0.03%,-0.29%,0.40%,0.69%,0.34%,0.75%,-3.17%,0.18%,-1.01%,1.48%,0.61%,-1.79%,,,,,,,,,,
27/2/2015,0.03%,-1.09%,-0.55%,2.33%,1.25%,4.80%,5.86%,6.64%,6.28%,5.51%,3.11%,6.19%,,,,,,,,,,
31/3/2015,0.03%,-1.11%,-1.03%,-0.48%,0.46%,-0.04%,-1.55%,-1.35%,-5.85%,0.59%,-1.40%,0.25%,,,,,,,,,,
30/4/2015,0.03%,1.22%,0.75%,1.20%,1.97%,4.47%,1.28%,2.93%,6.92%,3.69%,7.72%,0.96%,,,,,,,,,,
29/5/2015,0.03%,-2.40%,-1.12%,0.28%,-0.54%,1.14%,0.96%,-1.42%,-0.11%,-0.03%,-3.99%,1.49%,,,,,,,,,,
30/6/2015,0.04%,-0.17%,-1.18%,-1.51%,-1.69%,-4.00%,-1.95%,-2.31%,-3.56%,-2.40%,-2.52%,-0.87%,,,,,,,,,,
31/7/2015,0.03%,0.13%,0.40%,-0.62%,0.41%,4.22%,1.67%,3.82%,1.73%,-0.08%,-6.87%,-0.42%,,,,,,,,,,
31/8/2015,0.04%,0.32%,-0.50%,-1.76%,-1.08%,-6.59%,-6.09%,-7.12%,-7.42%,-7.79%,-9.01%,-5.27%,,,,,,,,,,
30/9/2015,0.05%,0.77%,0.05%,-2.59%,-1.38%,-4.38%,-2.76%,-4.97%,-4.45%,-5.72%,-2.97%,-4.22%,,,,,,,,,,
30/10/2015,0.04%,0.13%,0.60%,2.73%,3.16%,4.31%,8.03%,8.57%,7.29%,9.13%,7.14%,5.76%,,,,,,,,,,
30/11/2015,0.03%,-2.08%,-1.10%,-2.24%,-0.06%,-3.06%,0.23%,-1.55%,-2.27%,-1.03%,-3.89%,1.15%,,,,,,,,,,
31/12/2015,0.02%,0.91%,-0.31%,-2.58%,-1.50%,1.15%,-1.96%,-3.01%,-3.92%,0.95%,-2.17%,-2.47%,,,,,,,,,,
29/1/2016,0.07%,1.08%,0.03%,-1.60%,-0.20%,-7.50%,-5.17%,-6.66%,-6.03%,-8.41%,-6.48%,-7.74%,,,,,,,,,,
29/2/2016,0.07%,3.21%,0.79%,0.49%,2.02%,-1.44%,0.00%,-2.61%,-0.85%,-1.89%,-0.15%,0.72%,,,,,,,,,,
31/3/2016,0.08%,2.79%,3.72%,4.42%,3.34%,4.86%,7.02%,7.80%,4.84%,7.19%,13.26%,8.49%,,,,,,,,,,
29/4/2016,0.08%,1.66%,1.42%,3.97%,1.91%,2.91%,0.84%,1.88%,3.46%,3.75%,0.56%,2.39%,,,,,,,,,,
31/5/2016,0.07%,-1.81%,-0.75%,0.74%,-0.30%,0.02%,1.53%,-0.35%,-0.47%,-1.42%,-3.71%,1.26%,,,,,,,,,,
30/6/2016,0.09%,4.04%,1.47%,1.08%,3.73%,-0.56%,0.27%,-6.11%,-3.59%,-1.34%,4.10%,-1.85%,,,,,,,,,,
29/7/2016,0.06%,0.52%,1.72%,2.51%,1.56%,2.76%,3.77%,5.82%,2.77%,6.64%,5.09%,5.53%,,,,,,,,,,
31/8/2016,0.10%,-0.87%,0.18%,2.25%,1.80%,-0.66%,0.16%,0.96%,0.18%,-0.24%,2.52%,0.18%,,,,,,,,,,
30/9/2016,0.11%,0.81%,-0.03%,0.65%,0.34%,0.99%,0.17%,0.94%,1.02%,2.05%,1.32%,1.55%,,,,,,,,,,
31/10/2016,0.12%,-3.58%,-1.83%,0.31%,-1.46%,-5.33%,-1.83%,-1.15%,-5.15%,0.16%,0.25%,-3.67%,,,,,,,,,,
30/11/2016,0.12%,-4.88%,-2.84%,-0.39%,-4.17%,-2.42%,3.54%,-3.50%,0.35%,-1.64%,-4.60%,4.22%,,,,,,,,,,
30/12/2016,0.11%,-0.89%,0.46%,1.97%,1.44%,4.21%,1.86%,6.36%,4.14%,0.48%,0.29%,2.43%,,,,,,,,,,
31/1/2017,0.13%,1.39%,0.88%,1.34%,1.44%,4.14%,2.17%,1.46%,1.29%,4.38%,5.48%,2.32%,,,,,,,,,,
28/2/2017,0.12%,0.47%,0.73%,1.56%,2.08%,1.82%,3.61%,0.94%,2.02%,1.79%,3.07%,2.15%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Mean Returns (p.a.),3.16%,4.93%,5.71%,7.56%,9.65%,10.01%,10.13%,8.71%,7.00%,4.30%,7.57%,11.14%,,,,,,,,,,
Expected Returns (p.a.),2.10%,3.30%,5.30%,6.30%,6.80%,7.10%,7.10%,7.10%,7.10%,7.10%,8.10%,7.60%,,,,,,,,,,
